,L1,L2,L3,L4,L5
0,"농업, 임업 및 어업",농업,작물 재배업,곡물 및 기타 식량작물 재배업,곡물 및 기타 식량작물 재배업
1,"농업, 임업 및 어업",농업,작물 재배업,"채소, 화훼작물 및 종묘 재배업",채소작물 재배업
2,"농업, 임업 및 어업",농업,작물 재배업,"채소, 화훼작물 및 종묘 재배업",화훼작물 재배업
3,"농업, 임업 및 어업",농업,작물 재배업,"채소, 화훼작물 및 종묘 재배업",종자 및 묘목 생산업
4,"농업, 임업 및 어업",농업,작물 재배업,"과실, 음료용 및 향신용 작물 재배업",과실작물 재배업
5,"농업, 임업 및 어업",농업,작물 재배업,"과실, 음료용 및 향신용 작물 재배업",음료용 및 향신용 작물 재배업
6,"농업, 임업 및 어업",농업,작물 재배업,기타 작물 재배업,기타 작물 재배업
7,"농업, 임업 및 어업",농업,작물 재배업,시설작물 재배업,콩나물 재배업
8,"농업, 임업 및 어업",농업,작물 재배업,시설작물 재배업,"채소, 화훼 및 과실작물 시설 재배업"
9,"농업, 임업 및 어업",농업,작물 재배업,시설작물 재배업,기타 시설작물 재배업
10,"농업, 임업 및 어업",농업,축산업,소 사육업,젖소 사육업
11,"농업, 임업 및 어업",농업,축산업,소 사육업,육우 사육업
12,"농업, 임업 및 어업",농업,축산업,양돈업,양돈업
13,"농업, 임업 및 어업",농업,축산업,가금류 및 조류 사육업,양계업
14,"농업, 임업 및 어업",농업,축산업,가금류 및 조류 사육업,기타 가금류 및 조류 사육업
15,"농업, 임업 및 어업",농업,축산업,기타 축산업,말 및 양 사육업
16,"농업, 임업 및 어업",농업,축산업,기타 축산업,그 외 기타 축산업
17,"농업, 임업 및 어업",농업,작물재배 및 축산 복합농업,작물재배 및 축산 복합농업,작물재배 및 축산 복합농업
18,"농업, 임업 및 어업",농업,작물재배 및 축산 관련 서비스업,작물재배 관련 서비스업,작물재배 지원 서비스업
19,"농업, 임업 및 어업",농업,작물재배 및 축산 관련 서비스업,작물재배 관련 서비스업,"농산물 건조, 선별 및 기타 수확 후 서비스업"
20,"농업, 임업 및 어업",농업,작물재배 및 축산 관련 서비스업,축산 관련 서비스업,축산 관련 서비스업
21,"농업, 임업 및 어업",농업,수렵 및 관련 서비스업,수렵 및 관련 서비스업,수렵 및 관련 서비스업
22,"농업, 임업 및 어업",임업,임업,영림업,임업용 종묘 생산업
23,"농업, 임업 및 어업",임업,임업,영림업,육림업
24,"농업, 임업 및 어업",임업,임업,벌목업,벌목업
25,"농업, 임업 및 어업",임업,임업,임산물 채취업,임산물 채취업
26,"농업, 임업 및 어업",임업,임업,임업 관련 서비스업,임업 관련 서비스업
27,"농업, 임업 및 어업",어업,어로 어업,해수면 어업,원양 어업
28,"농업, 임업 및 어업",어업,어로 어업,해수면 어업,연근해 어업
29,"농업, 임업 및 어업",어업,어로 어업,내수면 어업,내수면 어업
30,"농업, 임업 및 어업",어업,양식어업 및 어업관련 서비스업,양식 어업,해수면 양식 어업
31,"농업, 임업 및 어업",어업,양식어업 및 어업관련 서비스업,양식 어업,내수면 양식 어업
32,"농업, 임업 및 어업",어업,양식어업 및 어업관련 서비스업,양식 어업,수산물 부화 및 수산 종자 생산업
33,"농업, 임업 및 어업",어업,양식어업 및 어업관련 서비스업,어업 관련 서비스업,어업 관련 서비스업
34,광업,"석탄, 원유 및 천연가스 광업",석탄 광업,석탄 광업,석탄 광업
35,광업,"석탄, 원유 및 천연가스 광업",원유 및 천연가스 채굴업,원유 및 천연가스 채굴업,원유 및 천연가스 채굴업
36,광업,금속 광업,철 광업,철 광업,철 광업
37,광업,금속 광업,비철금속 광업,비철금속 광업,비철금속 광업
38,광업,비금속광물 광업,토사석 광업,석회석 및 점토 광업,석회석 및 점토 광업
39,광업,비금속광물 광업,토사석 광업,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업
40,광업,비금속광물 광업,토사석 광업,"석재, 쇄석 및 모래, 자갈 채취업",모래 및 자갈 채취업
41,광업,비금속광물 광업,기타 비금속광물 광업,화학용 및 비료 원료용 광물 광업,화학용 및 비료 원료용 광물 광업
42,광업,비금속광물 광업,기타 비금속광물 광업,천일염 생산 및 암염 채취업,천일염 생산 및 암염 채취업
43,광업,비금속광물 광업,기타 비금속광물 광업,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업
44,광업,광업 지원 서비스업,광업 지원 서비스업,광업 지원 서비스업,광업 지원 서비스업
45,제조업,식료품 제조업,"도축, 육류 가공 및 저장 처리업",도축업,육류 도축업(가금류 제외)
46,제조업,식료품 제조업,"도축, 육류 가공 및 저장 처리업",도축업,가금류 도축업
47,제조업,식료품 제조업,"도축, 육류 가공 및 저장 처리업",육류 가공 및 저장 처리업,가금류 가공 및 저장 처리업
48,제조업,식료품 제조업,"도축, 육류 가공 및 저장 처리업",육류 가공 및 저장 처리업,육류 포장육 및 냉동육 가공업(가금류 제외)
49,제조업,식료품 제조업,"도축, 육류 가공 및 저장 처리업",육류 가공 및 저장 처리업,육류 기타 가공 및 저장 처리업(가금류 제외)
50,제조업,식료품 제조업,수산물 가공 및 저장 처리업,수산동물 가공 및 저장 처리업,"수산동물 훈제, 조리 및 유사 조제식품 제조업"
51,제조업,식료품 제조업,수산물 가공 및 저장 처리업,수산동물 가공 및 저장 처리업,수산동물 건조 및 염장품 제조업
52,제조업,식료품 제조업,수산물 가공 및 저장 처리업,수산동물 가공 및 저장 처리업,수산동물 냉동품 제조업
53,제조업,식료품 제조업,수산물 가공 및 저장 처리업,수산동물 가공 및 저장 처리업,기타 수산동물 가공 및 저장 처리업
54,제조업,식료품 제조업,수산물 가공 및 저장 처리업,수산식물 가공 및 저장 처리업,수산식물 가공 및 저장 처리업
55,제조업,식료품 제조업,"과실, 채소 가공 및 저장 처리업","과실, 채소 가공 및 저장 처리업",김치류 제조업
56,제조업,식료품 제조업,"과실, 채소 가공 및 저장 처리업","과실, 채소 가공 및 저장 처리업",과실 및 그 외 채소 절임식품 제조업
57,제조업,식료품 제조업,"과실, 채소 가공 및 저장 처리업","과실, 채소 가공 및 저장 처리업",기타 과실ㆍ채소 가공 및 저장 처리업
58,제조업,식료품 제조업,동물성 및 식물성 유지 제조업,동물성 및 식물성 유지 제조업,동물성 유지 제조업
59,제조업,식료품 제조업,동물성 및 식물성 유지 제조업,동물성 및 식물성 유지 제조업,식물성 유지 제조업
60,제조업,식료품 제조업,동물성 및 식물성 유지 제조업,동물성 및 식물성 유지 제조업,식용 정제유 및 가공유 제조업
61,제조업,식료품 제조업,낙농제품 및 식용 빙과류 제조업,낙농제품 및 식용 빙과류 제조업,액상 시유 및 기타 낙농제품 제조업
62,제조업,식료품 제조업,낙농제품 및 식용 빙과류 제조업,낙농제품 및 식용 빙과류 제조업,아이스크림 및 기타 식용 빙과류 제조업
63,제조업,식료품 제조업,"곡물 가공품, 전분 및 전분제품 제조업",곡물 가공품 제조업,곡물 도정업
64,제조업,식료품 제조업,"곡물 가공품, 전분 및 전분제품 제조업",곡물 가공품 제조업,곡물 제분업
65,제조업,식료품 제조업,"곡물 가공품, 전분 및 전분제품 제조업",곡물 가공품 제조업,곡물 혼합 분말 및 반죽 제조업
66,제조업,식료품 제조업,"곡물 가공품, 전분 및 전분제품 제조업",곡물 가공품 제조업,기타 곡물 가공품 제조업
67,제조업,식료품 제조업,"곡물 가공품, 전분 및 전분제품 제조업",전분제품 및 당류 제조업,전분제품 및 당류 제조업
68,제조업,식료품 제조업,기타 식품 제조업,"떡, 빵 및 과자류 제조업",떡류 제조업
69,제조업,식료품 제조업,기타 식품 제조업,"떡, 빵 및 과자류 제조업",빵류 제조업
70,제조업,식료품 제조업,기타 식품 제조업,"떡, 빵 및 과자류 제조업",과자류 및 코코아 제품 제조업
71,제조업,식료품 제조업,기타 식품 제조업,설탕 제조업,설탕 제조업
72,제조업,식료품 제조업,기타 식품 제조업,"면류, 마카로니 및 유사 식품 제조업","면류, 마카로니 및 유사 식품 제조업"
73,제조업,식료품 제조업,기타 식품 제조업,조미료 및 식품 첨가물 제조업,"식초, 발효 및 화학 조미료 제조업"
74,제조업,식료품 제조업,기타 식품 제조업,조미료 및 식품 첨가물 제조업,천연 및 혼합 조제 조미료 제조업
75,제조업,식료품 제조업,기타 식품 제조업,조미료 및 식품 첨가물 제조업,장류 제조업
76,제조업,식료품 제조업,기타 식품 제조업,조미료 및 식품 첨가물 제조업,기타 식품 첨가물 제조업
77,제조업,식료품 제조업,기타 식품 제조업,도시락 및 식사용 조리식품 제조업,도시락류 제조업
78,제조업,식료품 제조업,기타 식품 제조업,도시락 및 식사용 조리식품 제조업,기타 식사용 가공처리 조리식품 제조업
79,제조업,식료품 제조업,기타 식품 제조업,기타 식료품 제조업,커피 가공업
80,제조업,식료품 제조업,기타 식품 제조업,기타 식료품 제조업,차류 가공업
81,제조업,식료품 제조업,기타 식품 제조업,기타 식료품 제조업,수프 및 균질화식품 제조업
82,제조업,식료품 제조업,기타 식품 제조업,기타 식료품 제조업,두부 및 유사 식품 제조업
83,제조업,식료품 제조업,기타 식품 제조업,기타 식료품 제조업,인삼식품 제조업
84,제조업,식료품 제조업,기타 식품 제조업,기타 식료품 제조업,건강 보조용 액화식품 제조업
85,제조업,식료품 제조업,기타 식품 제조업,기타 식료품 제조업,건강 기능식품 제조업
86,제조업,식료품 제조업,기타 식품 제조업,기타 식료품 제조업,그 외 기타 식료품 제조업
87,제조업,식료품 제조업,동물용 사료 및 조제식품 제조업,동물용 사료 및 조제식품 제조업,배합 사료 제조업
88,제조업,식료품 제조업,동물용 사료 및 조제식품 제조업,동물용 사료 및 조제식품 제조업,단미사료 및 기타 사료 제조업
89,제조업,음료 제조업,알코올 음료 제조업,발효주 제조업,탁주 및 약주 제조업
90,제조업,음료 제조업,알코올 음료 제조업,발효주 제조업,맥아 및 맥주 제조업
91,제조업,음료 제조업,알코올 음료 제조업,발효주 제조업,기타 발효주 제조업
92,제조업,음료 제조업,알코올 음료 제조업,증류주 및 합성주 제조업,주정 제조업
93,제조업,음료 제조업,알코올 음료 제조업,증류주 및 합성주 제조업,소주 제조업
94,제조업,음료 제조업,알코올 음료 제조업,증류주 및 합성주 제조업,기타 증류주 및 합성주 제조업
95,제조업,음료 제조업,비알코올 음료 및 얼음 제조업,비알코올 음료 및 얼음 제조업,얼음 제조업
96,제조업,음료 제조업,비알코올 음료 및 얼음 제조업,비알코올 음료 및 얼음 제조업,생수 생산업
97,제조업,음료 제조업,비알코올 음료 및 얼음 제조업,비알코올 음료 및 얼음 제조업,기타 비알코올 음료 제조업
98,제조업,담배 제조업,담배 제조업,담배 제조업,담배제품 제조업
99,제조업,섬유제품 제조업,방적 및 가공사 제조업,방적 및 가공사 제조업,면 방적업
100,제조업,섬유제품 제조업,방적 및 가공사 제조업,방적 및 가공사 제조업,모 방적업
101,제조업,섬유제품 제조업,방적 및 가공사 제조업,방적 및 가공사 제조업,화학섬유 방적업
102,제조업,섬유제품 제조업,방적 및 가공사 제조업,방적 및 가공사 제조업,연사 및 가공사 제조업
103,제조업,섬유제품 제조업,방적 및 가공사 제조업,방적 및 가공사 제조업,기타 방적업
104,제조업,섬유제품 제조업,직물 직조 및 직물제품 제조업,직물 직조업,면직물 직조업
105,제조업,섬유제품 제조업,직물 직조 및 직물제품 제조업,직물 직조업,모직물 직조업
106,제조업,섬유제품 제조업,직물 직조 및 직물제품 제조업,직물 직조업,화학섬유직물 직조업
107,제조업,섬유제품 제조업,직물 직조 및 직물제품 제조업,직물 직조업,특수직물 및 기타 직물 직조업
108,제조업,섬유제품 제조업,직물 직조 및 직물제품 제조업,직물제품 제조업,침구 및 관련제품 제조업
109,제조업,섬유제품 제조업,직물 직조 및 직물제품 제조업,직물제품 제조업,자수제품 및 자수용 재료 제조업
110,제조업,섬유제품 제조업,직물 직조 및 직물제품 제조업,직물제품 제조업,커튼 및 유사 제품 제조업
111,제조업,섬유제품 제조업,직물 직조 및 직물제품 제조업,직물제품 제조업,"천막, 텐트 및 유사 제품 제조업"
112,제조업,섬유제품 제조업,직물 직조 및 직물제품 제조업,직물제품 제조업,직물포대 제조업
113,제조업,섬유제품 제조업,직물 직조 및 직물제품 제조업,직물제품 제조업,기타 직물제품 제조업
114,제조업,섬유제품 제조업,편조 원단 제조업,편조 원단 제조업,편조 원단 제조업
115,제조업,섬유제품 제조업,"섬유제품 염색, 정리 및 마무리 가공업","섬유제품 염색, 정리 및 마무리 가공업",솜 및 실 염색 가공업
116,제조업,섬유제품 제조업,"섬유제품 염색, 정리 및 마무리 가공업","섬유제품 염색, 정리 및 마무리 가공업","직물, 편조 원단 및 의복류 염색 가공업"
117,제조업,섬유제품 제조업,"섬유제품 염색, 정리 및 마무리 가공업","섬유제품 염색, 정리 및 마무리 가공업",날염 가공업
118,제조업,섬유제품 제조업,"섬유제품 염색, 정리 및 마무리 가공업","섬유제품 염색, 정리 및 마무리 가공업",섬유제품 기타 정리 및 마무리 가공업
119,제조업,섬유제품 제조업,기타 섬유제품 제조업,"카펫, 마루덮개 및 유사 제품 제조업","카펫, 마루덮개 및 유사 제품 제조업"
120,제조업,섬유제품 제조업,기타 섬유제품 제조업,"끈, 로프, 망 및 끈 가공품 제조업",끈 및 로프 제조업
121,제조업,섬유제품 제조업,기타 섬유제품 제조업,"끈, 로프, 망 및 끈 가공품 제조업",어망 및 기타 끈 가공품 제조업
122,제조업,섬유제품 제조업,기타 섬유제품 제조업,그 외 기타 섬유제품 제조업,세폭직물 제조업
123,제조업,섬유제품 제조업,기타 섬유제품 제조업,그 외 기타 섬유제품 제조업,부직포 및 펠트 제조업
124,제조업,섬유제품 제조업,기타 섬유제품 제조업,그 외 기타 섬유제품 제조업,특수사 및 코드직물 제조업
125,제조업,섬유제품 제조업,기타 섬유제품 제조업,그 외 기타 섬유제품 제조업,표면처리 및 적층 직물 제조업
126,제조업,섬유제품 제조업,기타 섬유제품 제조업,그 외 기타 섬유제품 제조업,그 외 기타 분류 안된 섬유제품 제조업
127,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,겉옷 제조업,남자용 겉옷 제조업
128,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,겉옷 제조업,여자용 겉옷 제조업
129,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,속옷 및 잠옷 제조업,속옷 및 잠옷 제조업
130,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,한복 제조업,한복 제조업
131,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,기타 봉제의복 제조업,셔츠 및 블라우스 제조업
132,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,기타 봉제의복 제조업,"근무복, 작업복 및 유사 의복 제조업"
133,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,기타 봉제의복 제조업,가죽의복 제조업
134,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,기타 봉제의복 제조업,유아용 의복 제조업
135,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,기타 봉제의복 제조업,그 외 기타 봉제의복 제조업
136,제조업,"의복, 의복 액세서리 및 모피제품 제조업",모피제품 제조업,모피제품 제조업,모피제품 제조업
137,제조업,"의복, 의복 액세서리 및 모피제품 제조업",편조의복 제조업,편조의복 제조업,편조의복 제조업
138,제조업,"의복, 의복 액세서리 및 모피제품 제조업",의복 액세서리 제조업,편조 의복 액세서리 제조업,스타킹 및 기타양말 제조업
139,제조업,"의복, 의복 액세서리 및 모피제품 제조업",의복 액세서리 제조업,편조 의복 액세서리 제조업,기타 편조 의복 액세서리 제조업
140,제조업,"의복, 의복 액세서리 및 모피제품 제조업",의복 액세서리 제조업,기타 의복 액세서리 제조업,모자 제조업
141,제조업,"의복, 의복 액세서리 및 모피제품 제조업",의복 액세서리 제조업,기타 의복 액세서리 제조업,그 외 기타 의복 액세서리 제조업
142,제조업,"가죽, 가방 및 신발 제조업","가죽, 가방 및 유사 제품 제조업",모피 및 가죽 제조업,모피 및 가죽 제조업
143,제조업,"가죽, 가방 및 신발 제조업","가죽, 가방 및 유사 제품 제조업","핸드백, 가방 및 기타 보호용 케이스 제조업",핸드백 및 지갑 제조업
144,제조업,"가죽, 가방 및 신발 제조업","가죽, 가방 및 유사 제품 제조업","핸드백, 가방 및 기타 보호용 케이스 제조업",가방 및 기타 보호용 케이스 제조업
145,제조업,"가죽, 가방 및 신발 제조업","가죽, 가방 및 유사 제품 제조업",기타 가죽제품 제조업,기타 가죽제품 제조업
146,제조업,"가죽, 가방 및 신발 제조업",신발 및 신발 부분품 제조업,신발 제조업,구두류 제조업
147,제조업,"가죽, 가방 및 신발 제조업",신발 및 신발 부분품 제조업,신발 제조업,기타 신발 제조업
148,제조업,"가죽, 가방 및 신발 제조업",신발 및 신발 부분품 제조업,신발 부분품 제조업,신발 부분품 제조업
149,제조업,목재 및 나무제품 제조업,제재 및 목재 가공업,제재 및 목재 가공업,일반 제재업
150,제조업,목재 및 나무제품 제조업,제재 및 목재 가공업,제재 및 목재 가공업,표면 가공목재 및 특정 목적용 제재목 제조업
151,제조업,목재 및 나무제품 제조업,제재 및 목재 가공업,제재 및 목재 가공업,"목재 보존, 방부처리, 도장 및 유사 처리업"
152,제조업,목재 및 나무제품 제조업,나무제품 제조업,"박판, 합판 및 강화 목제품 제조업","박판, 합판 및 유사 적층판 제조업"
153,제조업,목재 및 나무제품 제조업,나무제품 제조업,"박판, 합판 및 강화 목제품 제조업",강화 및 재생 목재 제조업
154,제조업,목재 및 나무제품 제조업,나무제품 제조업,건축용 나무제품 제조업,목재 문 및 관련제품 제조업
155,제조업,목재 및 나무제품 제조업,나무제품 제조업,건축용 나무제품 제조업,기타 건축용 나무제품 제조업
156,제조업,목재 및 나무제품 제조업,나무제품 제조업,"목재 상자, 드럼 및 적재판 제조업",목재 깔판류 및 기타 적재판 제조업
157,제조업,목재 및 나무제품 제조업,나무제품 제조업,"목재 상자, 드럼 및 적재판 제조업","목재 포장용 상자, 드럼 및 유사 용기 제조업"
158,제조업,목재 및 나무제품 제조업,나무제품 제조업,기타 나무제품 제조업,목재 도구 및 주방용 나무제품 제조업
159,제조업,목재 및 나무제품 제조업,나무제품 제조업,기타 나무제품 제조업,장식용 목제품 제조업
160,제조업,목재 및 나무제품 제조업,나무제품 제조업,기타 나무제품 제조업,그 외 기타 나무제품 제조업
161,제조업,목재 및 나무제품 제조업,코르크 및 조물 제품 제조업,코르크 및 조물 제품 제조업,코르크 및 조물 제품 제조업
162,제조업,"펄프, 종이 및 종이제품 제조업","펄프, 종이 및 판지 제조업",펄프 제조업,펄프 제조업
163,제조업,"펄프, 종이 및 종이제품 제조업","펄프, 종이 및 판지 제조업",종이 및 판지 제조업,신문용지 제조업
164,제조업,"펄프, 종이 및 종이제품 제조업","펄프, 종이 및 판지 제조업",종이 및 판지 제조업,인쇄용 및 필기용 원지 제조업
165,제조업,"펄프, 종이 및 종이제품 제조업","펄프, 종이 및 판지 제조업",종이 및 판지 제조업,크라프트지 및 상자용 판지 제조업
166,제조업,"펄프, 종이 및 종이제품 제조업","펄프, 종이 및 판지 제조업",종이 및 판지 제조업,"적층, 합성 및 특수 표면처리 종이 제조업"
167,제조업,"펄프, 종이 및 종이제품 제조업","펄프, 종이 및 판지 제조업",종이 및 판지 제조업,위생용 원지 제조업
168,제조업,"펄프, 종이 및 종이제품 제조업","펄프, 종이 및 판지 제조업",종이 및 판지 제조업,기타 종이 및 판지 제조업
169,제조업,"펄프, 종이 및 종이제품 제조업","골판지, 종이 상자 및 종이 용기 제조업",골판지 및 골판지 가공제품 제조업,골판지 제조업
170,제조업,"펄프, 종이 및 종이제품 제조업","골판지, 종이 상자 및 종이 용기 제조업",골판지 및 골판지 가공제품 제조업,골판지 상자 및 가공제품 제조업
171,제조업,"펄프, 종이 및 종이제품 제조업","골판지, 종이 상자 및 종이 용기 제조업","종이 포대, 판지 상자 및 종이 용기 제조업",종이 포대 및 가방 제조업
172,제조업,"펄프, 종이 및 종이제품 제조업","골판지, 종이 상자 및 종이 용기 제조업","종이 포대, 판지 상자 및 종이 용기 제조업",판지 상자 및 용기 제조업
173,제조업,"펄프, 종이 및 종이제품 제조업","골판지, 종이 상자 및 종이 용기 제조업","종이 포대, 판지 상자 및 종이 용기 제조업",식품 위생용 종이 상자 및 용기 제조업
174,제조업,"펄프, 종이 및 종이제품 제조업","골판지, 종이 상자 및 종이 용기 제조업","종이 포대, 판지 상자 및 종이 용기 제조업",기타 종이 상자 및 용기 제조업
175,제조업,"펄프, 종이 및 종이제품 제조업",기타 종이 및 판지 제품 제조업,기타 종이 및 판지 제품 제조업,문구용 종이제품 제조업
176,제조업,"펄프, 종이 및 종이제품 제조업",기타 종이 및 판지 제품 제조업,기타 종이 및 판지 제품 제조업,위생용 종이제품 제조업
177,제조업,"펄프, 종이 및 종이제품 제조업",기타 종이 및 판지 제품 제조업,기타 종이 및 판지 제품 제조업,벽지 및 장판지 제조업
178,제조업,"펄프, 종이 및 종이제품 제조업",기타 종이 및 판지 제품 제조업,기타 종이 및 판지 제품 제조업,그 외 기타 종이 및 판지 제품 제조업
179,제조업,인쇄 및 기록매체 복제업,인쇄 및 인쇄관련 산업,인쇄업,경 인쇄업
180,제조업,인쇄 및 기록매체 복제업,인쇄 및 인쇄관련 산업,인쇄업,스크린 인쇄업
181,제조업,인쇄 및 기록매체 복제업,인쇄 및 인쇄관련 산업,인쇄업,오프셋 인쇄업
182,제조업,인쇄 및 기록매체 복제업,인쇄 및 인쇄관련 산업,인쇄업,기타 인쇄업
183,제조업,인쇄 및 기록매체 복제업,인쇄 및 인쇄관련 산업,인쇄관련 산업,제판 및 조판업
184,제조업,인쇄 및 기록매체 복제업,인쇄 및 인쇄관련 산업,인쇄관련 산업,제책업
185,제조업,인쇄 및 기록매체 복제업,인쇄 및 인쇄관련 산업,인쇄관련 산업,기타 인쇄관련 산업
186,제조업,인쇄 및 기록매체 복제업,기록매체 복제업,기록매체 복제업,기록매체 복제업
187,제조업,"코크스, 연탄 및 석유정제품 제조업",코크스 및 연탄 제조업,코크스 및 연탄 제조업,코크스 및 관련제품 제조업
188,제조업,"코크스, 연탄 및 석유정제품 제조업",코크스 및 연탄 제조업,코크스 및 연탄 제조업,연탄 및 기타 석탄 가공품 제조업
189,제조업,"코크스, 연탄 및 석유정제품 제조업",석유 정제품 제조업,원유 정제처리업,원유 정제처리업
190,제조업,"코크스, 연탄 및 석유정제품 제조업",석유 정제품 제조업,석유 정제물 재처리업,윤활유 및 그리스 제조업
191,제조업,"코크스, 연탄 및 석유정제품 제조업",석유 정제품 제조업,석유 정제물 재처리업,기타 석유 정제물 재처리업
192,제조업,화학 물질 및 화학제품 제조업,기초 화학물질 제조업,기초 유기화학 물질 제조업,석유화학계 기초 화학 물질 제조업
193,제조업,화학 물질 및 화학제품 제조업,기초 화학물질 제조업,기초 유기화학 물질 제조업,천연수지 및 나무 화학 물질 제조업
194,제조업,화학 물질 및 화학제품 제조업,기초 화학물질 제조업,기초 유기화학 물질 제조업,석탄화학계 화합물 및 기타 기초 유기화학 물질 제조업
195,제조업,화학 물질 및 화학제품 제조업,기초 화학물질 제조업,기초 무기화학 물질 제조업,산업용 가스 제조업
196,제조업,화학 물질 및 화학제품 제조업,기초 화학물질 제조업,기초 무기화학 물질 제조업,기타 기초 무기화학 물질 제조업
197,제조업,화학 물질 및 화학제품 제조업,기초 화학물질 제조업,"무기 안료, 염료, 유연제 및 기타 착색제 제조업",무기 안료용 금속 산화물 및 관련 제품 제조업
198,제조업,화학 물질 및 화학제품 제조업,기초 화학물질 제조업,"무기 안료, 염료, 유연제 및 기타 착색제 제조업","염료, 조제 무기 안료, 유연제 및 기타 착색제 제조업"
199,제조업,화학 물질 및 화학제품 제조업,합성고무 및 플라스틱 물질 제조업,합성고무 및 플라스틱 물질 제조업,합성고무 제조업
200,제조업,화학 물질 및 화학제품 제조업,합성고무 및 플라스틱 물질 제조업,합성고무 및 플라스틱 물질 제조업,합성수지 및 기타 플라스틱 물질 제조업
201,제조업,화학 물질 및 화학제품 제조업,합성고무 및 플라스틱 물질 제조업,합성고무 및 플라스틱 물질 제조업,혼성 및 재생 플라스틱 소재 물질 제조업
202,제조업,화학 물질 및 화학제품 제조업,"비료, 농약 및 살균ㆍ살충제 제조업",비료 및 질소 화합물 제조업,"질소 화합물, 질소ㆍ인산 및 칼리질 화학비료 제조업"
203,제조업,화학 물질 및 화학제품 제조업,"비료, 농약 및 살균ㆍ살충제 제조업",비료 및 질소 화합물 제조업,복합비료 및 기타 화학비료 제조업
204,제조업,화학 물질 및 화학제품 제조업,"비료, 농약 및 살균ㆍ살충제 제조업",비료 및 질소 화합물 제조업,유기질 비료 및 상토 제조업
205,제조업,화학 물질 및 화학제품 제조업,"비료, 농약 및 살균ㆍ살충제 제조업",살균ㆍ살충제 및 농약 제조업,화학 살균ㆍ살충제 및 농업용 약제 제조업
206,제조업,화학 물질 및 화학제품 제조업,"비료, 농약 및 살균ㆍ살충제 제조업",살균ㆍ살충제 및 농약 제조업,생물 살균ㆍ살충제 및 식물보호제 제조업
207,제조업,화학 물질 및 화학제품 제조업,기타 화학제품 제조업,"잉크, 페인트, 코팅제 및 유사제품 제조업",일반용 도료 및 관련제품 제조업
208,제조업,화학 물질 및 화학제품 제조업,기타 화학제품 제조업,"잉크, 페인트, 코팅제 및 유사제품 제조업",요업용 도포제 및 관련제품 제조업
209,제조업,화학 물질 및 화학제품 제조업,기타 화학제품 제조업,"잉크, 페인트, 코팅제 및 유사제품 제조업",인쇄 잉크 및 회화용 물감 제조업
210,제조업,화학 물질 및 화학제품 제조업,기타 화학제품 제조업,"세제, 화장품 및 광택제 제조업",계면활성제 제조업
211,제조업,화학 물질 및 화학제품 제조업,기타 화학제품 제조업,"세제, 화장품 및 광택제 제조업","치약, 비누 및 기타 세제 제조업"
212,제조업,화학 물질 및 화학제품 제조업,기타 화학제품 제조업,"세제, 화장품 및 광택제 제조업",화장품 제조업
213,제조업,화학 물질 및 화학제품 제조업,기타 화학제품 제조업,"세제, 화장품 및 광택제 제조업",표면 광택제 및 실내 가향제 제조업
214,제조업,화학 물질 및 화학제품 제조업,기타 화학제품 제조업,그 외 기타 화학제품 제조업,감광 재료 및 관련 화학제품 제조업
215,제조업,화학 물질 및 화학제품 제조업,기타 화학제품 제조업,그 외 기타 화학제품 제조업,가공 및 정제염 제조업
216,제조업,화학 물질 및 화학제품 제조업,기타 화학제품 제조업,그 외 기타 화학제품 제조업,접착제 및 젤라틴 제조업
217,제조업,화학 물질 및 화학제품 제조업,기타 화학제품 제조업,그 외 기타 화학제품 제조업,화약 및 불꽃제품 제조업
218,제조업,화학 물질 및 화학제품 제조업,기타 화학제품 제조업,그 외 기타 화학제품 제조업,바이오 연료 및 혼합물 제조업
219,제조업,화학 물질 및 화학제품 제조업,기타 화학제품 제조업,그 외 기타 화학제품 제조업,그 외 기타 분류 안된 화학제품 제조업
220,제조업,화학 물질 및 화학제품 제조업,화학섬유 제조업,화학섬유 제조업,합성섬유 제조업
221,제조업,화학 물질 및 화학제품 제조업,화학섬유 제조업,화학섬유 제조업,재생 섬유 제조업
222,제조업,의료용 물질 및 의약품 제조업,기초 의약 물질 및 생물학적 제제 제조업,기초 의약 물질 및 생물학적 제제 제조업,의약용 화합물 및 항생물질 제조업
223,제조업,의료용 물질 및 의약품 제조업,기초 의약 물질 및 생물학적 제제 제조업,기초 의약 물질 및 생물학적 제제 제조업,생물학적 제제 제조업
224,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,완제 의약품 제조업,완제 의약품 제조업
